episode, time, score
1, 156, 275.383049
2, 187, 263.145657
3, 220, 242.845178
4, 210, 263.463329
5, 213, 275.777194
6, 197, 248.217856
7, 164, 305.036060
8, 229, 278.960341
9, 189, 282.292173
10, 207, 275.604444
11, 199, 290.653625
12, 183, 291.005061
13, 273, 309.719975
14, 178, 57.621227
15, 241, 303.646790
16, 184, 247.966910
17, 214, 253.001528
18, 171, 47.793666
19, 157, 262.601184
20, 221, 265.468976
21, 227, 293.557199
22, 241, 296.949481
23, 236, 292.022300
24, 159, 288.099759
25, 179, 264.138148
26, 215, 247.803985
27, 173, 286.313308
28, 205, 255.177975
29, 219, 271.603507
30, 205, 240.545976
31, 204, 264.474932
32, 214, 305.133997
33, 204, 252.658507
34, 239, 288.861332
35, 221, 277.264551
36, 200, 273.137570
37, 190, 286.726543
38, 197, 240.988809
39, 200, 240.131346
40, 189, 276.195716
41, 198, 281.548744
42, 232, 270.418498
43, 186, 291.550984
44, 239, 297.753418
45, 185, 262.253522
46, 199, 286.397233
47, 259, 305.770314
48, 181, 249.092187
49, 199, 279.132114
50, 213, 282.588215
51, 213, 265.887235
52, 254, 299.791780
53, 249, 307.869731
54, 222, 296.365925
55, 197, 277.782596
56, 204, 254.182266
57, 188, 251.740624
58, 193, 287.254271
59, 205, 289.280396
60, 174, 259.959064
61, 218, 269.830972
62, 236, 296.102048
63, 202, 265.890252
64, 196, 253.736545
65, 201, 314.932602
66, 203, 260.798173
67, 195, 281.691161
68, 190, 249.180037
69, 131, 80.869764
70, 222, 293.023776
71, 169, 308.597789
72, 239, 274.164232
73, 192, 300.489246
74, 193, 267.050245
75, 225, 296.233080
76, 185, 301.405332
77, 222, 280.146787
78, 247, 275.176293
79, 172, 277.695947
80, 183, 287.274217
81, 180, 257.892665
82, 171, 308.071261
83, 218, 276.077856
84, 179, 281.162515
85, 193, 271.663561
86, 240, 297.971386
87, 224, 294.701112
88, 227, 282.694971
89, 214, 248.478710
90, 231, 288.940616
91, 202, 288.817983
92, 214, 255.305731
93, 215, 279.385920
94, 206, 271.330845
95, 198, 277.137890
96, 204, 269.585273
97, 208, 290.284720
98, 173, 270.116638
99, 218, 306.511532
100, 247, 307.968358
