episode, time, score
1, 181, 277.105911
2, 181, 312.110826
3, 205, 265.928811
4, 217, 286.810244
5, 212, 281.297897
6, 200, 286.050294
7, 203, 250.507052
8, 219, 280.632420
9, 1000, 176.250143
10, 259, 305.884662
11, 192, 252.422157
12, 194, 267.092738
13, 177, 255.201531
14, 195, 251.786121
15, 178, 309.432212
16, 196, 262.143330
17, 559, 264.326720
18, 190, 264.087155
19, 186, 274.588326
20, 202, 313.918378
21, 193, 252.232209
22, 214, 290.371128
23, 219, 285.196049
24, 243, 285.479184
25, 1000, 169.192912
26, 259, 282.548431
27, 180, 265.220052
28, 186, 289.945866
29, 209, 277.168721
30, 175, 283.416602
31, 224, 278.409248
32, 178, 274.029678
33, 1000, 199.628799
34, 210, 303.132424
35, 1000, 149.444317
36, 218, 263.766543
37, 185, 232.811915
38, 189, 291.526174
39, 186, 282.578064
40, 173, 259.670097
41, 508, 269.665507
42, 202, 263.039581
43, 190, 252.382421
44, 193, 268.462547
45, 361, 290.433246
46, 198, 271.022817
47, 214, 297.232883
48, 213, 307.694041
49, 207, 266.626791
50, 183, 261.712901
51, 245, 303.077003
52, 190, 313.076757
53, 195, 258.193003
54, 211, 293.226806
55, 193, 312.118103
56, 198, 241.551426
57, 230, 309.262699
58, 188, 269.961774
59, 203, 275.744534
60, 179, 282.386325
61, 206, 267.229560
62, 756, 275.083799
63, 200, 263.938301
64, 200, 256.301902
65, 206, 274.312740
66, 186, 319.502914
67, 182, 277.061839
68, 185, 261.335824
69, 207, 302.245891
70, 204, 251.150601
71, 170, 278.999858
72, 641, 288.163108
73, 207, 281.349119
74, 188, 312.853843
75, 204, 266.817356
76, 176, 261.368065
77, 193, 300.618990
78, 187, 247.952618
79, 252, 297.467273
80, 179, 310.194446
81, 272, 303.722011
82, 186, 289.759219
83, 204, 257.939442
84, 188, 250.952771
85, 209, 279.552489
86, 207, 278.286277
87, 200, 261.965597
88, 242, 298.549963
89, 184, 279.611519
90, 186, 276.801157
91, 222, 272.915346
92, 204, 274.703986
93, 791, 259.955930
94, 185, 288.087071
95, 224, 268.636618
96, 206, 270.322540
97, 211, 264.323025
98, 231, 281.891014
99, 242, 298.219106
100, 1000, 161.811782
